"REG_ANS","Razao_Social","total_despesas"
"339954",FUNDAÇÃO SÃO FRANCISCO XAVIER,1510251599.97
"321273",UNIMED DE JOINVILLE COOPERATIVA DE TRABALHO MÉDICO,1439741215.41
"315729",UNIMED DE PIRACICABA SOCIEDADE COOPERATIVA DE SERVIÇOS MÉDICOS,1417531205.04
"355691",UNIMED DO ESTADO DE SANTA CATARINA FED. EST. DAS COOP. MÉD.,1402028222.44
"331872",UNIMED SAO JOSE DOS CAMPOS - COOPERATIVA DE TRABALHO MEDICO,1400719524.79
"353353",UNIMED TERESINA - COOPERATIVA DE TRABALHO MÉDICO,1364008762.83
"337668",UNIMED SERGIPE - COOPERATIVA DE TRABALHO MÉDICO,1357171401.54
"319121",UNIMED DIVINOPOLIS - COOPERATIVA DE TRABALHO MEDICO LTDA,1350258980.50
"312720",UNIMED DO ESTADO DO PARANÁ FEDERAÇÃO ESTADUAL DAS COOPERATIVAS MÉDICAS,1314778211.91
"417505",CEMIG SAÚDE,1308543289.86
"370070",UNIMED DE CASCAVEL COOPERATIVA DE TRABALHO MÉDICO,1268027366.07
"477",SUL AMÉRICA SEGURADORA DE SAÚDE S.A.,1266293122.04
"306398",UNIMED - COOPERATIVA DE SERVIÇOS DE SAÚDE DOS VALES DO TAQUARI E RIO PARDO LTDA.,1266069015.45
"306886",UNIMED JUIZ DE FORA COOPERATIVA DE TRABALHO MÉDICO LTDA,1248188820.84
"361011",SINDIFISCO NACIONAL - SINDICATO NACIONAL DOS AUDITORES-FISCAIS DA RECEITA FEDERAL DO BRASIL,1231557721.99
"369659",UNIMED DE BAURU COOPERATIVA DE TRABALHO MÉDICO,1212213995.12
"331988",PASA - PLANO DE ASSISTENCIA A SAUDE DO APOSENTADO DA VALE,1158092975.65
"393321",UNIMED-RIO COOPERATIVA DE TRABALHO MEDICO DO RIO DE JANEIRO,1157629209.27
"354031",UNIMED SÃO CARLOS - COOPERATIVA DE TRABALHO MÉDICO,1148524690.25
"303356",UNIMED LITORAL COOPERATIVA DE TRABALHO MÉDICO LTDA,1145796478.69
"364584",UNIMED DE VOLTA REDONDA COOPERATIVA DE TRABALHO MÉDICO,1094918188.23
"419249",ASSOCIAÇÃO SANTA CASA SAÚDE DE SÃO JOSÉ DOS CAMPOS,1086734805.22
"315796",UNIMED DE PRESIDENTE PRUDENTE COOPERATIVA DE TRAB. MÉDICO,1041759561.81
"411256",PLANO HOSPITAL SAMARITANO LTDA,1036635245.02
"340952",UNIMED CARUARU-COOPERATIVA DE TRABALHO MEDICO,997053322.83
"303267",UNIMED JUNDIAI - COOPERATIVA DE TRABALHO MÉDICO,987799317.82
"356417",UNIMED VALE DO SINOS - COOPERATIVA DE ASSISTÊNCIA À SAÚDE LTDA,984766690.09
"302953",UNIMED DE MACAÉ COOPERATIVA DE ASSISTÊNCIA À SAÚDE,932095822.64
"317233",FUNDAÇÃO CHESF DE ASSISTÊNCIA E SEGURIDADE SOCIAL,929679187.07
"419010",INSTITUTO CURITIBA DE SAÚDE,929132574.84
"344397",UNIMED NOVA IGUACU COOPERATIVA DE TRABALHO MEDICO,921396092.60
"422631",ASSOCIAÇÃO PETROBRAS DE SAÚDE - APS,912753041.41
"353663",UNIMED NORTE DO MATO GROSSO COOPERATIVA DE TRABALHO MÉDICO,911614390.22
"385697",CAIXA DE ASSISTÊNCIA DOS FUNCIONÁRIOS DO BANCO DO NORDESTE DO BRASIL,903914678.74
"320706",UNIMED SUL CAPIXABA COOPERATIVA DE TRABALHO MÉDICO,900365690.90
"335479",UNIMED NOVA FRIBURGO-SOC.COOP.SERV.MED.HOSP.LTDA.,883787862.61
"392804",CENTRO CLÍNICO GAÚCHO LTDA,882358118.67
"354066",UNIMED UBERABA COOPERATIVA DE TRABALHO MEDICO LTDA.,879159888.16
"326500",SOBAM CENTRO MÉDICO HOSPITALAR S.A.,868571607.20
"348180",HUMANA SAÚDE LTDA.,865581908.98
"369292",UNIMED DE SANTA BÁRBARA D'OESTE E AMERICANA - COOP DE TRABALHO MÉDICO,854773715.41
"311847",UNIMED REGIONAL DA BAIXA MOGIANA - COOPERATIVA DE TRABALHO MÉDICO,832233543.60
"380661",METRUS INSTITUTO DE SEGURIDADE SOCIAL,818057833.62
"324477",CAIXA DE PREVIDÊNCIA E ASSISTÊNCIA DOS SERVIDORES DA FUNDAÇÃO NACIONAL DE SAÚDE - CAPESESP,817766590.87
"331317",REAL GRANDEZA - FUNDAÇÃO DE PREVIDÊNCIA E ASSISTÊNCIA SOCIAL,816067444.99
"884",ITAUSEG SAÚDE S.A.,813970705.98
"418021",ASSOCIAÇÃO SANTA SAÚDE,808511665.41
"364312",UNIMED DE ARARAQUARA - COOP. DE TRAB. MÉDICO,795723819.31
"323268",UNIMED VALE DO SÃO FRANCISCO COOPERATIVA DE TRABALHO MÉDICO,794693030.39
"336106",UNIMED DE MARILIA COOPERATIVA DE TRABALHO MÉDICO,787608584.56
"321958",UNIMED DO CEARÁ - FEDERAÇÃO DAS SOCIEDADES COOPERATIVAS MÉDICAS DO ESTADO DO CEARÁ LTDA.,783486511.37
"354783",UNIMED FRANCA - SOCIEDADE COOPERATIVA DE SERVIÇOS MÉDICOS E HOSPITALARES,778018912.14
"317632",ASSOCIACAO DOS AUDITORES FISCAIS DA RECEITA ESTADUAL DE SAO PAULO,777255660.66
"417530",ASSOCIAÇÃO DE SAÚDE PORTUGUESA DE BENEFICÊNCIA,767681411.60
"349712",UNIMED PONTA GROSSA COOPERATIVA DE TRABALHO MEDICO,764275428.79
"355151",FUNDAÇÃO COPEL DE PREVIDÊNCIA E ASSISTÊNCIA SOCIAL,758204003.18
"326861",PROMÉDICA - PROTEÇÃO MEDICA A EMPRESAS S.A.,755997145.84
"367397",UNIMED CAMPINA GRANDE - COOPERATIVA DE TRABALHO MEDICO LTDA,753345449.77
"329339",UNIMED DE CRICIÚMA COOPERATIVA DE TRABALHO MÉDICO DA REGIÃO CARBONÍFERA,745498567.93
"420077","SERVIÇO SOCIAL DA INDÚSTRIA DO PAPEL, PAPELÃO E CORTIÇA DO ESTADO DE SÃO PAULO - SEPACO",744554155.97
"386588",UNIMED GOVERNADOR VALADARES COOP. DE TRABALHO MÉDICO LTDA.,743393635.98
"367095",SAMEL PLANO DE SAÚDE LTDA,740604804.13
"349682",DOCTOR CLIN OPERADORA DE PLANOS DE SAÚDE LTDA.,720409707.68
"350249",H.B. SAÚDE S/A.,695256247.90
"360244",PLANO DE SAÚDE ANA COSTA LTDA.,694134718.40
"366561",BENSAUDE PLANO DE ASSISTENCIA MEDICA HOSPITALAR LTDA.,683528462.98
"421928",ALICE OPERADORA LTDA.,676743074.14
"344800",ALVORECER - ASSOCIAÇÃO DE SOCORROS MÚTUOS,676521087.81
"319708",UNIMED SANTA MARIA/RS - COOPERATIVA DE ASSISTÊNCIA À SAÚDE LTDA,675973615.84
"418170",QUALLITY PRÓ SAÚDE PLANO DE ASSISTÊNCIA MÉDICA LTDA.,666499157.47
"350141",PARANÁ CLÍNICAS - PLANOS DE SAÚDE S/A,659479859.10
"337188",COOPERATIVA DE TRABALHO MÉDICO DE POUSO ALEGRE,651343148.44
"324361",CAIXA DE ASSISTÊNCIA À SAÚDE - CABERJ,649827828.32
"327417",AUSTACLINICAS ASSISTÊNCIA MÉDICA E HOSPITALAR LTDA,639230793.92
"367087",COOPERATIVA CENTRAL UNIMED DE COOPERATIVAS DE ASSISTÊNCIA À SAÚDE DO RIO GRANDE DO SUL LTDA.,638909281.04
"411752",ASSOCIAÇÃO ASSISTENCIAL DE SAÚDE SUPLEMENTAR CRUZ AZUL SAÚDE,630006277.48
"337374",UNIMED PORTO VELHO - SOCIEDADE COOPERATIVA MÉDICA LTDA,625797083.15
"348082",UNIMED ANHANGUERA COOPERATIVA DE TRABALHO MÉDICO,622979487.37
"310247",CIRCULO OPERARIO CAXIENSE,622175850.65
"352683",UNIMED DE CAMPOS COOPERATIVA DE TRABALHO MÉDICO,616909587.82
"307319",CAIXA DE ASSISTÊNCIA DOS EMPREGADOS DO BANCO DO ESTADO DO RIO GRANDE DO SUL,596844264.96
"304883",UNIMED DE BOTUCATU COOPERATIVA DE TRABALHO MÉDICO,594550826.28
"421421","2CARE OPERADORA DE SAÚDE LTDA.",588698056.14
"354295",UNIMED CHAPECÓ - COOPERATIVA DE TRABALHO MÉDICO DA REGIÃO OESTE CATARINENSE,582267351.22
"333051",UNIMED DE GUARULHOS COOPERATIVA DE TRABALHO MÉDICO,564018965.93
"342556",ASSOCIAÇÃO DR. BARTHOLOMEU TACCHINI,558486383.14
"359777",UNIMED RONDONOPOLIS COOPERATIVA DE TRABALHO MÉDICO LTDA,558295483.72
"350371",UNIMED DO SUDOESTE COOPERATIVA DE TRABALHO MEDICO LTDA,555649545.13
"304051",UNIMED MONTES CLAROS COOPERATIVA DE  TRABALHO MÉDICO LTDA.,554064529.31
"358088",UNIMED LESTE PAULISTA COOPERATIVA DE TRABALHO MÉDICO,552971748.14
"331341",UNIMED DE BEBEDOURO COOPERATIVA DE TRABALHO MÉDICO,543919763.12
"353060",UNIMED PATOS DE MINAS COOPERATIVA TRABALHO MÉDICO LTDA.,543870500.38
"346276",UNIMED SALTO/ITU - COOPERATIVA MÉDICA,541148189.30
"415111",BIOVIDA SAÚDE LTDA.,540879732.13
"301574",UNIMED DE LIMEIRA COOPERATIVA DE TRABALHO MÉDICO,539777972.64
"422339",LEVE SAUDE OPERADORA DE PLANOS DE SAUDE S.A,534849397.34
"371106",UNIMED COSTA OESTE - COOPERATIVA DE TRABALHO MÉDICO,529657852.28
"318299",BENEFICENCIA CAMILIANA DO SUL,518033784.73
"348830",PLENA SAÚDE S.A.,503157323.93
"372609",NOSSA SAÚDE - OPERADORA PLANOS PRIVADOS DE ASSISTÊNCIA  À SAÚDE LTDA.,499581301.81
"344362",SÃO LUCAS SAÚDE S/A,499481061.06
"422029",KLINI PLANOS DE SAÚDE LTDA,492246010.52
"314099",UNIMED VALE DO SEPOTUBA - COOPERATIVA DE TRABALHO MÉDICO,492008365.71
"315044",FUNDAÇÃO CELESC DE SEGURIDADE SOCIAL - CELOS,491464129.52
"320251",UNIMED RIO VERDE COOPERATIVA TRABALHO MEDICO,480179546.61
"379280",LIV LINHAS INTELIGENTES DE ATENÇÃO À VIDA S/A,476794266.73
"323993",UNIMED PETROPOLIS-RJ COOPERATIVA DE TRABALHO MÉDICO,476119729.99
"303739",SERMED-SAÚDE LTDA.,474639246.96
"416401",CAIXA DE ASSISTÊNCIA DOS EMPREGADOS DA EMPRESA BRASILEIRA DE PESQUISA  AGROPECUÁRIA,472835270.92
"347507",UNIMED CENTRO RONDÔNIA COOPERATIVA DE TRABALHO MÉDICO,470624030.67
"311375",UNIMED PELOTAS/RS - COOPERATIVA DE ASSISTÊNCIA À SAÚDE LTDA.,467342228.49
"414492",LIFE EMPRESARIAL SAÚDE LTDA.,463603681.02
"324493",S.P.A SAUDE- SISTEMA DE PROMOÇÃO ASSISTENCIAL,460398327.95
"345598",UNIMED AMPARO COOPERATIVA DE TRABALHO MÉDICO,457734883.05
"357260",UNIMED NOROESTE/RS - SOCIEDADE COOPERATIVA DE ASSISTÊNCIA À SAÚDE LTDA.,455721086.99
"417548",CAIXA DE ASSISTÊNCIA OSWALDO CRUZ,447810521.30
"311294",UNIMED DE OURINHOS - COOPERATIVA DE TRABALHO MÉDICO,447732116.57
"306126",UNIMED DE RIO CLARO SP COOPERATIVA DE TRABALHO MEDICO,440051503.24
"415774",CABERJ INTEGRAL SAÚDE S.A,435890035.81
"370681",UNIMED PATO BRANCO SOCIEDADE COOPERATIVA DE MÉDICOS,427072240.38
"333662",UNIMED DE DOURADOS COOPERATIVA DE TRABALHO MÉDICO LTDA,423423501.51
"310522",PROASA - PROGRAMA ADVENTISTA DE SAÚDE,420903921.53
"371629",UNIMED NOROESTE CAPIXABA COOPERATIVA DE TRABALHO MÉDICO.,420458164.54
"356123",UNIMED DO CARIRI - SOCIEDADE COOPERATIVA MÉDICA LTDA,419553129.82
"337871",UNIMED RIO BRANCO COOPERATIVA DE TRABALHO MEDICO LTDA,418938500.12
"409243",SAUDE PAS - MEDICINA E ODONTO,417516509.49
"315567",FUNDAÇÃO AFFEMG DE ASSISTÊNCIA E SAÚDE - FUNDAFFEMG,416264584.62
"342807",SANTA CASA DE MISERICÓRDIA DE JUIZ DE FORA,409246231.21
"364860",UNIMED DE TUBARAO - COOPERATIVA DE TRABALHO MEDICO DA REGIAO DA AMUREL,405856899.41
"354511",OPERADORA UNIESTE DE PLANOS DE SAÚDE LTDA,405146115.78
"354562",IRMANDADE DA SANTA CASA DE MISERICÓRDIA DE PIRACICABA,401965877.16
"306762",UNIMED REGIONAL JAU - COOPERATIVA DE TRABALHO MÉDICO,399197739.53
"338648",FUNDAÇÃO SANEPAR DE ASSISTÊNCIA SOCIAL,397936148.50
"359289",UNIMED VALE DO AÇO COOPERATIVA DE TRABALHO MÉDICO,396129602.14
"420166",PLANO DE SAÚDE DA SANTA CASA DE BRAGANÇA PAULISTA,391526798.52
"352543",UNIMED MARANHÃO DO SUL - COOPERATIVA DE TRABALHO MÉDICO,385757220.56
"319384",UNIMED PLANALTO MÉDIO/RS - COOPERATIVA DE ASSISTÊNCIA À SAÚDE LTDA.,374198418.53
"415693",POLICLIN SAÚDE S/A.,366341783.73
"385255",UNIHOSP SAÚDE LTDA,364653469.31
"306100",UNIMED REGIONAL DE CAMPO MOURÃO COOP TRAB MEDICO ,364478949.71
"311715",UNIMED ENCOSTA DA SERRA/RS SOCIEDADE COOPERATIVA DE SERVIÇOS DE SAÚDE LTDA.,363870955.66
"414581",UNIÃO MÉDICA PLANOS DE SAÚDE S/A,361661292.41
"369411",UNIMED DE ARACATUBA - COOPERATIVA DE TRABALHO MÉDICO,361448787.52
"316873",CAIXA DE ASSISTENCIA A SAUDE DA UNIVERSIDADE,351165232.69
"357138",UNIMED CENTRO OESTE PAULISTA - FEDERAÇÃO INTRAFEDERATIVA DAS COOPERATIVAS MÉDICAS,347482724.89
"418650",MÚTUA DOS MAGISTRADOS DO ESTADO DO RIO DE JANEIRO,346637427.91
"371777",UNIMED NORTE CAPIXABA- COOPERATIVA DE TRABALHO MÉDICO,344714221.64
"326755",ASSOCIAÇÃO EVANGELICA BENEFICENTE DE LONDRINA,340907183.74
"312347",UNIMED ANÁPOLIS COOPERATIVA DE TRABALHO MÉDICO.,340590897.08
"406554",ASSOCIAÇÃO ADVENTISTA NORTE BRASILEIRA DE PREVENÇÃO E ASSISTÊNCIA A SAÚDE,340073941.14
"416568",ASSOCIAÇÃO DE ASSISTÊNCIA À SAÚDE DOS EMPREGADOS DA COPASA,333895636.38
"314668",ABERTTA SAÚDE - ASSOCIAÇÃO BENEFICENTE DOS EMPREGADOS DA ARCELORMITTAL NO BRASIL,326293525.29
"344729",UNIMED VARGINHA COOPERATIVA DE TRABALHO MÉDICO,320026000.39
"324345",UNIMED COSTA DO DESCOBRIMENTO COOPERATIVA DE TRABALHO MÉDICO,318008347.36
"336831",IRMANDADE SANTA CASA DE MISERICÓRDIA DE MARINGÁ,314024414.73
"356476",SIM - CAIXA DE ASSISTÊNCIA À SAÚDE,312583023.05
"335215",UNIMED ARARUAMA COOPERATIVA DE TRABALHO MÉDICO LTDA,311462103.06
"309907",UNIMED PALMAS COOPERATIVA DE TRABALHO MÉDICO,311434043.73
"351407",UNIMED DE CATANDUVA - COOPERATIVA DE TRABALHO MÉDICO,310397020.69
"307751",FUNDAÇAO COMPESA DE PREVIDENCIA E ASSISTENCIA - COMPESAPREV,303437109.72
"423173",INTEGRA ASSISTENCIA MEDICA SA,302701373.01
"328537",MED-TOUR ADMINISTRADORA DE BENEFÍCIOS E EMPREENDIMENTOS LTDA.,298099930.46
"345709",UNIMED CONSELHEIRO LAFAIETE COOPERATIVA DE TRABALHO MÉDICO LTDA,295320780.12
"401081",AMESC - ASSOCIAÇÃO MÉDICA ESPÍRITA CRISTÃ,290772842.48
"318388",UNIMED DE SÃO ROQUE - COOPERATIVA DE TRABALHO MÉDICO,289317903.66
"300713",UNIMED DE ASSIS COOPERATIVA DE TRABALHO MÉDICO,288307349.91
"300136",UNIMED LITORAL SUL/RS - COOPERATIVA DE ASSISTÊNCIA À SAÚDE LTDA.,288056208.70
"316881",UNIMED TEOFILO OTONI COOPERATIVA DE TRABALHO MÉDICO,288003733.13
"414352",HBC SAÚDE LTDA.,287483992.54
"311961",UNIMED DE MANAUS COOP. DO TRABALHO MÉDICO LTDA,287343859.07
"417947",ASSOCIAÇÃO DA SANTA CASA SAÚDE DE RIBEIRÃO PRETO,287194099.50
"414310",SAÚDE BRB - CAIXA DE ASSISTÊNCIA ,284917341.05
"330566",UNIMED RESENDE COOPERATIVA DE TRABALHO MÉDICO,280114559.50
"304468",UNIMED BARRA DO GARÇAS - COOPERATIVA DE TRABALHO MÉDICO,278335653.32
"322571",UNIMED GUARAPUAVA COOPERATIVA DE TRABALHO MÉDICO,277491989.32
"313211",UNIMED VALE DO CAÍ/RS - COOPERATIVA DE ASSISTÊNCIA À SAÚDE LTDA.,276358596.17
"349534",UNIMED SETE LAGOAS COOPERATIVA TRABALHO MÉDICO,274709500.78
"347655",IRMANDADE DA SANTA CASA DE MISERICÓRDIA DE RIO CLARO,271097245.00
"395480",ESMALE ASSISTENCIA INTERNACIONAL DE SAUDE LTDA.,268552018.97
"342611",ECONOMUS INSTITUTO DE SEGURIDADE SOCIAL,263204227.23
"328294",UNIMED NORDESTE PAULISTA - FED. INTRAFEDERATIVA DAS COOP. MÉDICAS,262366579.66
"312592",UNIMED NORTE FLUMINENSE COOPERATIVA DE TRABALHO MEDICO,260385844.07
"330264",UNIMED DE BARRA MANSA SOC. COOP. SERV.MED.E HOSPIT.,260066574.62
"318477",OPERADORA UNICENTRAL DE PLANOS DE SAÚDE LTDA.,256318238.56
"330108",UNIMED CURVELO COOPERATIVA DE TRABALHO MÉDICO LTDA.,254295175.76
"361615",UNIMED DE PARANAGUÁ COOPERATIVA DE TRABALHO MÉDICO,254040554.33
"318566",UNIMED METROPOLITANA DO AGRESTE - COOPERATIVA DE TRABALHO MÉDICO,251442921.89
"320862",UNIMED DE PARANAVAÍ COOPERATIVA DE TRABALHO MÉDICO,251257706.18
"311618",UNIMED MISSÕES/RS - COOPERATIVA DE ASSISTÊNCIA À SAÚDE LTDA.,248485560.85
"335754",ASSOCIAÇÃO DOS SERVIDORES FISCAIS DO ESTADO DA BAHIA,242854175.85
"316148",UNIMED POÇOS DE CALDAS - SOC. COOP. DE TRAB. E SERVIÇOS MÉDICOS,240969694.79
"346209",UNIMED EXTREMO SUL COOPERATIVA DE TRABALHO MÉDICO,240022961.65
"352179",UNIMED FRONTEIRA NOROESTE/RS - COOPERATIVA DE ASSISTÊNCIA À SAÚDE LTDA.,239961575.94
"419141",ASSOCIAÇÃO SÃO FRANCISCO VIDA,239450452.00
"304131",ASSOCIAÇÃO BENEFICENTE DE ASSISTÊNCIA A SAÚDE DOS JUÍZES DO TRABALHO DA 15ª REGIÃO (ABAS 15),238101200.36
"329886",UNIMED DE JABOTICABAL COOP. DE TRABALHO MÉDICO,237005226.21
"304395",UNIMED INCONFIDENTES COOPERATIVA DE TRABALHO MÉDICO LTDA.,236026800.97
"515",ALLIANZ SAÚDE S/A,233710138.24
"358096",UNIMED APUCARANA COOPERATIVA DE TRABALHO MÉDICO,232956712.37
"330809",FUNDAÇÃO DE SEGURIDADE SOCIAL DA ARCELORMITTAL BRASIL - FUNSSEST,232912543.24
"336858",UNIMED FRANCISCO BELTRAO COOPERATIVA DE TRABALHO MEDICO,232116981.93
"327557",CAIXA ASSISTENCIAL E BENEFICENTE DOS FUNCIONÁRIOS DA ACARESC,232105537.15
"420158",ASSOCIAÇÃO PADRE ALBINO SAÚDE,231787967.39
"359122",CAIXA DE ASSISTÊNCIA DOS SERVIDORES FAZENDÁRIOS ESTADUAIS,229789671.03
"422398",SAMI ASSISTÊNCIA MÉDICA LTDA,229614846.40
"348244",UNIMED DE BRUSQUE COOPERATIVA DE TRABALHO MÉDICO,228443790.75
"382540",ASSOCIAÇÃO BENEFICENTE DOS PROFESSORES PÚBLICOS ATIVOS E INATIVOS DO RIO DE JANEIRO - APPAI,226856003.75
"386596",CENTRAL REGIONAL DAS COOPERATIVAS MÉDICAS - UNIMED CERRADO,225275049.36
"305227",UNIMED OESTE DO PARANA - COOPERATIVA DE TRABALHO MEDICO,223461366.08
"417599",ASSOCIAÇAO DOS FUNCIONARIOS PUBLICOS DO ESTADO DO RIO GRANDE DO SUL,222148807.24
"417297",ELOSAÚDE - ASSOCIAÇÃO DE ASSISTÊNCIA À SAÚDE,221352470.21
"351792",UNIMED FOZ DO IGUACU COOPERATIVA TRABALHO MEDICO,219709519.68
"350699",CENTRO HOSPITALAR ATIBAIA LTDA.,216922672.51
"362140",UNIMED OESTE DO PARÁ - COOPERATIVA DE TRABALHO MÉDICO,213557267.16
"421341",CAIXA DE ASSISTÊNCIA À SAÚDE DOS SERVIDORES PÚBLICOS DO ESTADO DO MATO GROSSO DO SUL,212146291.01
"305472",UNIMED REGIONAL SUL GOIAS COOP. DE TRABALHO MÉDICO LTDA,211595282.64
"322831",UNIMED ITAJUBA COOPERATIVA DE TRABALHO MEDICO,211005732.38
"304344",UNIMED PARÁ DE MINAS COOPERATIVA DE TRABALHO MÉDICO LTDA.,208807668.97
"363855",CAIXA DE ASSISTÊNCIA DOS EMPREGADOS DA SANEAGO,208120504.80
"324566",UNIMED DE CATALÃO COOPERATIVA DE TRABALHO MÉDICO,207837257.72
"414930",SAÚDE SANTA TEREZA LTDA.,207269671.39
"421197",SANTA CASA DE MAUÁ SAÚDE,206209685.78
"418803",ASSOCIAÇÃO SANTA CASA SAÚDE DE ARAÇATUBA,203376713.31
"422771",TEMPO MED PLANO DE SAUDE LTDA,202864283.25
"352314",UNIMED JOÃO MONLEVADE COOPERATIVA DE TRABALHO MÉDICO LTDA.,202130799.16
"343064",GARANTIA DE SAÚDE LTDA,201262091.37
"352586",SISTEMAS E PLANOS DE SAÚDE LTDA.,200248701.55
"415014",UNIMED OS BANDEIRANTES COOPERATIVA DE TRABALHO MÉDICO,199293206.82
"319422",IRMANDADE DA SANTA CASA DE MISERICORDIA DE LIMEIRA,198969481.44
"361941",UNIMED DE TATUI - COOPERATIVA DE TRABALHO MÉDICO,198518268.78
"394734",AMEPLAN ASSISTÊNCIA MÉDICA PLANEJADA LTDA,197987829.71
"320510",ATÍVIA SERVIÇOS DE SAÚDE S/A,197112630.44
"331651",UNIMED ARAXÁ COOPERATIVA DE TRABALHO MÉDICO LTDA.,197102526.44
